date,region,avg_ta,min_ta,max_ta,sum_rn
2024-10-24,창원,14.9,10.9,21.3,0.0
2024-10-25,창원,17.0,11.5,21.6,0.0
2024-10-26,창원,18.3,14.0,24.3,0.0
2024-10-27,창원,16.1,13.5,18.9,1.9
2024-10-28,창원,17.0,13.8,20.5,0.0
2024-10-29,창원,17.2,14.0,21.6,0.0
2024-10-30,창원,16.8,12.8,22.8,0.0
2024-10-31,창원,17.1,13.9,21.8,0.0
2024-11-01,창원,15.2,14.0,16.6,51.2
2024-11-02,창원,17.6,14.6,20.9,18.1
2024-11-03,창원,16.0,12.8,22.2,0.0
2024-11-04,창원,16.9,11.5,22.8,0.0
2024-11-05,창원,14.0,11.0,19.0,0.0
2024-11-06,창원,10.9,8.3,15.7,0.0
2024-11-07,창원,12.4,6.6,19.4,0.0
2024-11-08,창원,14.1,9.3,19.8,0.0
2024-11-09,창원,15.1,10.4,20.5,0.0
2024-11-10,창원,14.8,12.8,18.3,0.0
2024-11-11,창원,15.3,10.9,22.0,0.0
2024-11-12,창원,15.3,11.7,20.4,0.0
2024-11-13,창원,15.2,10.0,21.1,0.0
2024-11-14,창원,15.5,11.2,20.5,0.0
2024-11-15,창원,15.8,13.8,19.2,0.1
2024-11-16,창원,18.0,13.8,23.5,0.0
2024-11-17,창원,13.9,8.9,18.1,0.0
2024-11-18,창원,7.1,4.1,11.3,0.0
2024-11-19,창원,8.9,4.4,13.9,0.0
2024-11-20,창원,10.5,5.9,15.0,0.0
2024-11-21,창원,11.3,6.4,17.4,0.0
2024-11-22,창원,10.3,7.1,14.6,0.0
2024-11-23,창원,9.3,5.1,14.5,0.0
2024-11-24,창원,10.7,7.2,16.2,0.0
2024-11-25,창원,11.5,6.6,15.9,0.6
2024-11-26,창원,10.8,4.9,16.0,37.0
2024-11-27,창원,5.4,2.3,9.3,0.0
2024-11-28,창원,6.2,1.4,11.8,0.0
2024-11-29,창원,6.4,3.0,9.4,0.0
2024-11-30,창원,8.2,4.6,14.4,0.0
2024-12-01,창원,9.8,4.2,15.6,0.0
2024-12-02,창원,12.2,6.4,19.4,0.0
2024-12-03,창원,8.2,4.5,11.8,0.0
2024-12-04,창원,5.9,1.1,11.4,0.0
2024-12-05,창원,6.9,3.3,11.7,0.0
2024-12-06,창원,7.4,3.8,11.4,0.0
2024-12-07,창원,4.9,0.9,10.0,0.0
2024-12-08,창원,4.0,0.9,8.0,0.0
2024-12-09,창원,4.4,-0.1,8.8,0.0
2024-12-10,창원,5.4,1.9,10.1,0.0
2024-12-11,창원,6.3,2.5,11.7,0.0
2024-12-12,창원,5.4,1.8,9.6,0.0
2024-12-13,창원,4.6,2.5,8.8,0.0
2024-12-14,창원,3.2,-0.1,7.8,0.0
2024-12-15,창원,4.8,-0.1,9.6,0.0
2024-12-16,창원,4.6,-0.6,10.5,0.0
2024-12-17,창원,5.5,2.1,10.3,0.0
2024-12-18,창원,2.0,-0.8,5.6,0.0
2024-12-19,창원,2.4,-1.4,7.9,0.0
2024-12-20,창원,4.1,-0.2,10.7,0.0
2024-12-21,창원,3.6,-0.8,8.1,0.0
2024-12-22,창원,0.6,-2.7,5.1,0.0
2024-12-23,창원,3.9,-0.8,10.0,0.0
2024-12-24,창원,3.7,0.8,8.3,0.0
2024-12-25,창원,4.6,-0.5,10.0,0.0
2024-12-26,창원,5.3,1.3,10.9,0.0
2024-12-27,창원,2.2,-1.6,6.5,0.0
2024-12-28,창원,1.4,-1.1,6.1,0.0
2024-12-29,창원,3.0,-2.7,10.2,0.0
2024-12-30,창원,6.7,0.8,12.8,0.0
2024-12-31,창원,5.6,0.4,9.2,0.0
2025-01-01,창원,3.6,-1.5,10.4,0.0
2025-01-02,창원,5.0,0.2,9.9,0.0
2025-01-03,창원,2.1,0.0,4.8,0.0
2025-01-04,창원,2.2,-1.0,7.6,0.0
2025-01-05,창원,3.7,-0.6,8.0,0.5
2025-01-06,창원,3.9,0.8,9.8,0.2
2025-01-07,창원,1.5,-2.1,6.2,0.0
2025-01-08,창원,2.8,-2.0,8.7,0.0
2025-01-09,창원,-3.6,-9.0,0.7,0.0
2025-01-10,창원,-4.7,-10.9,,0.0
2025-01-11,창원,-0.8,,4.5,0.0
2025-01-12,창원,0.6,-3.6,5.7,0.0
2025-01-13,창원,1.5,-2.6,7.8,0.0
2025-01-14,창원,5.1,-1.3,12.7,0.0
2025-01-15,창원,1.5,-1.7,5.2,0.0
2025-01-16,창원,2.0,-4.8,8.3,0.0
2025-01-17,창원,2.5,-2.0,7.8,0.0
2025-01-18,창원,3.9,-1.8,10.9,0.0
2025-01-19,창원,4.4,-1.5,11.9,0.0
2025-01-20,창원,5.2,-0.1,10.4,0.0
2025-01-21,창원,5.5,2.2,10.6,0.0
2025-01-22,창원,5.7,0.5,11.9,0.0
2025-01-23,창원,6.5,2.3,12.5,0.0
2025-01-24,창원,6.6,1.4,12.7,0.0
2025-01-25,창원,5.7,2.7,9.1,0.0
2025-01-26,창원,6.0,3.1,8.9,0.0
2025-01-27,창원,2.6,-2.0,7.2,4.1
2025-01-28,창원,1.1,-2.0,5.4,0.0
2025-01-29,창원,0.4,-2.8,5.6,0.0
2025-01-30,창원,2.1,-3.8,7.7,0.0
2025-01-31,창원,4.3,-1.8,9.6,0.0
2025-02-01,창원,4.9,3.8,5.8,10.7
2025-02-02,창원,5.2,2.7,9.9,0.0
2025-02-03,창원,2.1,-2.7,5.5,0.0
2025-02-04,창원,-2.6,-4.9,2.3,0.0
2025-02-05,창원,-2.2,-6.6,3.6,0.0
2025-02-06,창원,-1.2,-6.6,3.8,0.0
2025-02-07,창원,-2.5,-6.9,4.7,0.0
2025-02-08,창원,-2.9,-8.2,3.6,0.0
2025-02-09,창원,-1.3,-6.0,4.0,0.0
2025-02-10,창원,1.0,-3.2,7.0,0.0
2025-02-11,창원,2.7,-2.1,9.3,0.0
2025-02-12,창원,2.8,0.3,6.5,14.1
2025-02-13,창원,2.7,-1.8,8.9,0.0
2025-02-14,창원,4.2,-1.9,12.7,0.0
2025-02-15,창원,4.2,0.3,8.5,0.0
2025-02-16,창원,7.7,0.7,14.1,0.0
2025-02-17,창원,4.5,0.7,9.7,0.0
2025-02-18,창원,1.4,-2.5,6.8,0.0
2025-02-19,창원,1.3,-3.3,7.0,0.0
2025-02-20,창원,0.9,-2.8,6.6,0.0
2025-02-21,창원,0.3,-2.5,5.5,0.0
2025-02-22,창원,1.1,-2.5,6.2,0.0
2025-02-23,창원,0.2,-2.8,5.4,0.0
2025-02-24,창원,1.3,-4.5,8.4,0.0
2025-02-25,창원,4.3,-2.0,10.8,0.0
2025-02-26,창원,6.9,1.2,11.9,0.0
2025-02-27,창원,7.0,0.5,13.8,0.0
2025-02-28,창원,10.7,6.7,17.1,0.0
2025-03-01,창원,10.4,4.9,14.7,1.8
2025-03-02,창원,11.2,7.0,16.6,10.8
2025-03-03,창원,5.0,3.2,7.1,11.9
2025-03-04,창원,4.1,2.9,5.6,6.6
2025-03-05,창원,6.6,3.5,10.4,0.0
2025-03-06,창원,6.6,4.3,10.4,0.0
2025-03-07,창원,6.3,1.2,11.7,0.0
2025-03-08,창원,7.5,4.1,12.7,0.0
2025-03-09,창원,7.8,2.5,14.2,0.0
2025-03-10,창원,8.0,3.4,14.0,0.0
2025-03-11,창원,9.5,4.2,18.0,0.0
2025-03-12,창원,11.6,4.3,18.9,0.0
2025-03-13,창원,11.7,6.8,17.6,0.0
2025-03-14,창원,12.9,6.7,19.7,0.0
2025-03-15,창원,8.5,7.0,10.6,2.3
2025-03-16,창원,6.3,0.6,11.4,2.7
2025-03-17,창원,4.9,0.4,11.2,0.0
2025-03-18,창원,3.9,0.6,7.3,0.0
2025-03-19,창원,4.2,0.1,10.4,0.0
2025-03-20,창원,8.5,0.0,15.9,0.0
2025-03-21,창원,13.2,6.6,20.7,0.0
2025-03-22,창원,15.7,7.3,23.9,0.0
2025-03-23,창원,15.1,7.0,24.4,0.0
2025-03-24,창원,15.5,12.3,21.7,0.0
2025-03-25,창원,16.5,10.4,23.0,0.0
2025-03-26,창원,15.5,9.0,21.0,0.2
2025-03-27,창원,17.5,15.5,19.7,3.6
2025-03-28,창원,11.8,8.8,15.5,0.0
2025-03-29,창원,7.7,3.7,13.2,0.0
2025-03-30,창원,5.2,1.4,9.8,0.0
2025-03-31,창원,7.6,1.4,14.6,0.0
2025-04-01,창원,9.8,4.1,16.9,0.0
2025-04-02,창원,10.3,4.7,18.1,0.0
2025-04-03,창원,9.7,4.9,16.0,0.0
2025-04-04,창원,10.9,5.4,17.8,0.0
2025-04-05,창원,10.8,7.8,14.4,3.5
2025-04-06,창원,13.5,7.5,20.5,0.0
2025-04-07,창원,13.9,6.3,21.7,0.0
2025-04-08,창원,16.9,10.9,25.5,0.0
2025-04-09,창원,13.5,8.1,19.3,0.0
2025-04-10,창원,15.8,10.9,22.3,0.0
2025-04-11,창원,15.0,9.6,23.0,0.0
2025-04-12,창원,13.2,9.8,17.4,28.6
2025-04-13,창원,9.2,4.4,13.6,21.5
2025-04-14,창원,8.0,4.5,12.5,2.6
2025-04-15,창원,11.6,5.1,17.8,0.0
2025-04-16,창원,14.5,7.3,21.6,0.0
2025-04-17,창원,17.3,12.4,19.6,0.0
2025-04-18,창원,19.4,16.4,25.2,0.0
2025-04-19,창원,19.0,16.3,23.2,2.1
2025-04-20,창원,15.8,14.1,18.3,0.3
2025-04-21,창원,15.8,12.7,21.1,0.0
2025-04-22,창원,15.8,12.4,17.3,28.2
2025-04-23,창원,15.4,12.3,19.9,0.0
2025-04-24,창원,17.3,12.0,22.5,0.0
2025-04-25,창원,15.4,11.6,21.6,0.0
2025-04-26,창원,14.8,8.0,22.7,0.0
2025-04-27,창원,17.7,10.1,25.6,0.0
2025-04-28,창원,18.9,14.8,25.4,0.0
2025-04-29,창원,14.6,9.5,20.1,0.0
2025-04-30,창원,16.7,9.9,24.2,0.0
2025-05-01,창원,16.3,11.7,23.1,21.2
2025-05-02,창원,16.3,10.8,21.7,0.0
2025-05-03,창원,13.1,11.2,16.5,3.1
2025-05-04,창원,15.2,7.8,22.3,0.0
2025-05-05,창원,13.9,9.4,20.9,3.4
2025-05-06,창원,12.6,10.6,15.1,3.4
2025-05-07,창원,14.6,9.4,21.7,0.0
2025-05-08,창원,16.5,11.0,21.7,0.0
2025-05-09,창원,15.6,12.9,17.3,40.0
2025-05-10,창원,16.8,14.2,20.7,0.0
2025-05-11,창원,15.6,12.0,21.7,0.3
2025-05-12,창원,16.9,10.2,24.1,0.0
2025-05-13,창원,18.4,12.3,24.4,0.0
2025-05-14,창원,18.9,13.2,23.9,0.0
2025-05-15,창원,19.4,17.6,20.7,0.6
2025-05-16,창원,19.2,17.6,21.0,63.5
2025-05-17,창원,19.9,17.4,25.7,0.6
2025-05-18,창원,17.7,13.8,24.5,0.0
2025-05-19,창원,19.6,12.9,24.5,0.0
2025-05-20,창원,22.4,19.5,26.9,0.1
2025-05-21,창원,23.2,19.7,28.0,0.0
2025-05-22,창원,19.4,17.2,21.8,0.0
2025-05-23,창원,18.8,14.8,22.3,0.0
2025-05-24,창원,15.2,13.5,18.1,0.4
2025-05-25,창원,17.0,13.2,24.1,0.0
2025-05-26,창원,18.3,12.8,24.4,0.0
2025-05-27,창원,18.7,14.3,24.1,0.8
2025-05-28,창원,19.4,14.0,25.5,0.0
2025-05-29,창원,19.1,14.3,26.6,0.0
2025-05-30,창원,18.4,14.2,25.0,0.0
2025-05-31,창원,20.4,14.1,28.1,0.0
2025-06-01,창원,20.6,15.6,26.9,0.0
2025-06-02,창원,18.8,16.7,21.6,1.9
2025-06-03,창원,21.9,16.7,28.5,1.2
2025-06-04,창원,23.5,16.9,29.5,0.0
2025-06-05,창원,22.1,15.9,29.2,0.0
2025-06-06,창원,20.2,16.4,26.1,0.3
2025-06-07,창원,22.5,15.3,29.6,0.0
2025-06-08,창원,23.7,19.7,29.6,0.0
2025-06-09,창원,22.1,18.9,27.6,0.0
2025-06-10,창원,24.0,18.7,29.1,0.0
2025-06-11,창원,24.7,20.8,32.0,0.0
2025-06-12,창원,22.3,18.6,26.4,0.0
2025-06-13,창원,21.1,17.9,24.8,36.5
2025-06-14,창원,21.9,19.6,24.9,75.1
2025-06-15,창원,24.4,22.1,29.4,1.8
2025-06-16,창원,23.4,21.0,27.7,7.2
2025-06-17,창원,23.3,20.8,27.1,0.0
2025-06-18,창원,24.4,20.9,29.3,0.0
2025-06-19,창원,24.6,18.4,29.8,0.0
2025-06-20,창원,25.1,23.7,26.9,2.7
2025-06-21,창원,23.3,19.6,25.3,23.2
2025-06-22,창원,21.9,18.1,28.1,5.0
2025-06-23,창원,23.8,18.9,29.7,0.0
2025-06-24,창원,21.0,19.3,23.3,28.2
2025-06-25,창원,22.4,19.8,26.8,5.1
2025-06-26,창원,24.0,19.0,29.9,0.0
2025-06-27,창원,25.9,20.6,31.6,0.0
2025-06-28,창원,26.3,21.9,30.5,0.0
2025-06-29,창원,27.2,23.9,32.4,0.0
2025-06-30,창원,27.5,23.1,32.6,0.0
2025-07-01,창원,28.2,24.4,33.6,0.0
2025-07-02,창원,29.4,26.0,34.4,0.0
2025-07-03,창원,28.5,24.8,34.0,0.0
2025-07-04,창원,27.9,24.1,32.6,0.0
2025-07-05,창원,27.8,22.8,33.3,0.0
2025-07-06,창원,28.8,23.8,34.6,0.0
2025-07-07,창원,30.1,25.7,36.3,0.0
2025-07-08,창원,29.6,25.8,33.9,0.0
2025-07-09,창원,29.0,24.4,34.8,0.0
2025-07-10,창원,28.5,25.3,33.6,0.0
2025-07-11,창원,28.2,24.8,33.6,0.0
2025-07-12,창원,27.0,23.6,32.7,0.0
2025-07-13,창원,24.4,20.9,30.4,86.6
2025-07-14,창원,24.6,20.5,30.6,14.3
2025-07-15,창원,24.8,20.7,29.5,0.0
2025-07-16,창원,24.5,23.0,26.5,2.1
2025-07-17,창원,24.0,22.0,28.7,40.5
2025-07-18,창원,25.1,21.9,29.3,21.8
2025-07-19,창원,23.7,21.4,26.7,88.0
2025-07-20,창원,26.6,22.0,31.9,0.0
2025-07-21,창원,27.1,24.5,31.4,3.1
2025-07-22,창원,28.6,24.5,33.9,0.0
2025-07-23,창원,28.8,24.6,34.4,0.0
2025-07-24,창원,28.3,23.7,33.4,0.0
2025-07-25,창원,28.9,25.1,33.1,0.0
2025-07-26,창원,29.8,25.5,32.9,0.0
2025-07-27,창원,29.5,25.9,32.7,0.0
2025-07-28,창원,28.5,24.9,34.0,0.0
2025-07-29,창원,28.2,23.9,34.1,0.0
2025-07-30,창원,28.3,24.3,34.0,0.0
2025-07-31,창원,28.6,24.2,33.8,0.0
2025-08-01,창원,28.7,24.4,34.3,0.0
2025-08-02,창원,29.5,25.4,35.4,0.0
2025-08-03,창원,28.7,26.2,32.1,22.3
2025-08-04,창원,29.2,27.3,32.1,2.4
2025-08-05,창원,28.7,27.2,31.7,7.8
2025-08-06,창원,28.7,27.3,32.0,2.0
2025-08-07,창원,29.6,25.6,33.9,0.0
2025-08-08,창원,27.1,23.7,30.8,0.0
2025-08-09,창원,24.5,22.1,28.7,5.5
2025-08-10,창원,23.7,21.8,28.6,39.6
2025-08-11,창원,23.7,20.0,29.3,17.1
2025-08-12,창원,22.6,20.4,24.0,54.7
2025-08-13,창원,27.5,23.8,32.5,0.3
2025-08-14,창원,28.7,25.1,33.3,0.0
2025-08-15,창원,29.1,25.2,34.7,0.0
2025-08-16,창원,29.1,25.3,34.0,0.0
2025-08-17,창원,28.9,24.0,34.7,0.0
2025-08-18,창원,28.9,25.0,34.0,0.0
2025-08-19,창원,28.9,25.1,33.3,0.0
2025-08-20,창원,28.4,24.5,33.0,0.0
2025-08-21,창원,29.0,24.4,34.5,0.0
2025-08-22,창원,29.3,25.8,34.3,0.0
2025-08-23,창원,29.3,25.7,35.0,0.0
2025-08-24,창원,29.3,25.3,34.8,0.0
2025-08-25,창원,29.2,25.5,35.0,0.0
2025-08-26,창원,29.1,25.9,33.6,0.0
2025-08-27,창원,27.7,24.7,32.9,0.0
2025-08-28,창원,27.8,24.6,32.8,0.0
2025-08-29,창원,28.7,24.5,34.7,0.0
2025-08-30,창원,29.3,25.1,35.1,0.0
2025-08-31,창원,27.0,25.1,30.7,9.1
2025-09-01,창원,26.5,25.3,28.5,14.0
2025-09-02,창원,25.7,22.7,30.2,81.2
2025-09-03,창원,27.1,23.7,31.4,0.0
2025-09-04,창원,27.7,24.0,33.2,0.0
2025-09-05,창원,27.4,24.7,32.6,0.0
2025-09-06,창원,27.6,23.9,32.0,0.0
2025-09-07,창원,27.6,24.6,33.2,1.8
2025-09-08,창원,26.6,24.1,31.4,0.0
2025-09-09,창원,21.8,19.6,24.7,8.9
2025-09-10,창원,23.5,21.1,28.0,0.0
2025-09-11,창원,25.1,20.3,30.3,0.0
2025-09-12,창원,25.4,22.2,28.8,0.0
2025-09-13,창원,26.5,24.1,31.5,6.3
2025-09-14,창원,25.7,23.4,29.2,0.0
2025-09-15,창원,26.0,23.2,30.0,0.0
2025-09-16,창원,27.1,23.6,32.5,0.0
2025-09-17,창원,26.7,23.7,33.0,7.8
2025-09-18,창원,23.6,20.7,26.3,0.0
2025-09-19,창원,22.6,19.2,26.8,0.0
2025-09-20,창원,24.4,20.9,29.4,3.8
2025-09-21,창원,22.2,19.0,26.9,0.0
2025-09-22,창원,22.3,18.6,26.9,0.0
2025-09-23,창원,23.2,19.8,28.6,0.0
